[ALERT] 192.168.1.112 | Packets=26 | Ports=2
[ALERT] 192.168.1.112 | Packets=26 | Ports=2
[ALERT] 139.5.47.154 | Packets=26 | Ports=10
[ALERT] 139.5.47.154 | Packets=26 | Ports=10
[ALERT] 103.230.151.210 | Packets=26 | Ports=2
[ALERT] 103.230.151.210 | Packets=26 | Ports=2
[ALERT] 150.171.27.10 | Packets=26 | Ports=3
[ALERT] 20.189.173.15 | Packets=26 | Ports=1
[ALERT] 204.79.197.203 | Packets=26 | Ports=1
[ALERT] 23.206.173.80 | Packets=26 | Ports=1
[ALERT] 150.171.27.10 | Packets=26 | Ports=3
[ALERT] 20.189.173.15 | Packets=26 | Ports=1
[ALERT] 204.79.197.203 | Packets=26 | Ports=1
[ALERT] 23.206.173.64 | Packets=26 | Ports=1
[ALERT] 192.168.1.112 | Packets=782 | Ports=3
[ALERT] 23.206.173.80 | Packets=26 | Ports=1
[ALERT] 192.168.1.112 | Packets=526 | Ports=3
[ALERT] 104.16.175.226 | Packets=26 | Ports=2
[ALERT] 139.5.47.154 | Packets=195 | Ports=39
[ALERT] 23.206.173.64 | Packets=26 | Ports=1
[ALERT] 139.5.47.154 | Packets=133 | Ports=28
[ALERT] 142.251.222.74 | Packets=26 | Ports=1
[ALERT] 142.251.222.74 | Packets=26 | Ports=1
[ALERT] 150.171.27.10 | Packets=34 | Ports=3
[ALERT] 150.171.27.10 | Packets=34 | Ports=3
[ALERT] 204.79.197.203 | Packets=67 | Ports=2
[ALERT] 142.251.222.78 | Packets=26 | Ports=2
[ALERT] 142.251.222.78 | Packets=26 | Ports=2
[ALERT] 192.168.1.112 | Packets=1133 | Ports=5
[ALERT] 142.251.220.46 | Packets=26 | Ports=2
[ALERT] 20.189.173.15 | Packets=89 | Ports=1
[ALERT] 20.189.173.15 | Packets=89 | Ports=1
[ALERT] 103.230.151.210 | Packets=134 | Ports=2
[ALERT] 103.230.151.210 | Packets=141 | Ports=2
[ALERT] 192.168.1.112 | Packets=1067 | Ports=4
[ALERT] 204.79.197.203 | Packets=60 | Ports=2
[ALERT] 23.206.173.64 | Packets=53 | Ports=1
[ALERT] 23.206.173.64 | Packets=48 | Ports=1
[ALERT] 142.251.222.74 | Packets=47 | Ports=1
[ALERT] 139.5.47.154 | Packets=206 | Ports=42
[ALERT] 139.5.47.154 | Packets=196 | Ports=40
[ALERT] 142.250.206.163 | Packets=26 | Ports=2
[ALERT] 142.250.206.163 | Packets=26 | Ports=2
[ALERT] 192.168.1.102 | Packets=26 | Ports=5
[ALERT] 142.251.222.74 | Packets=48 | Ports=1
[ALERT] 192.168.1.112 | Packets=1244 | Ports=5
[ALERT] 142.250.207.142 | Packets=26 | Ports=1
[ALERT] 192.168.1.112 | Packets=1153 | Ports=4
[ALERT] 142.250.207.142 | Packets=26 | Ports=1
[ALERT] 150.171.27.10 | Packets=37 | Ports=3
[ALERT] 150.171.27.10 | Packets=37 | Ports=3
[ALERT] 204.79.197.203 | Packets=69 | Ports=2
[ALERT] 204.79.197.203 | Packets=61 | Ports=2
[ALERT] 104.16.175.226 | Packets=38 | Ports=2
[ALERT] 20.189.173.15 | Packets=90 | Ports=1
[ALERT] 20.189.173.15 | Packets=90 | Ports=1
[ALERT] 192.168.1.102 | Packets=26 | Ports=5
[ALERT] 142.251.222.74 | Packets=69 | Ports=1
[ALERT] 103.230.151.210 | Packets=136 | Ports=2
[ALERT] 103.230.151.210 | Packets=143 | Ports=2
[ALERT] 192.168.1.102 | Packets=33 | Ports=5
[ALERT] 23.206.173.64 | Packets=50 | Ports=1
[ALERT] 23.206.173.64 | Packets=55 | Ports=1
[ALERT] 192.168.1.112 | Packets=1316 | Ports=5
